订单ID,日期,菜品名称,菜品分类,单价,数量,交易总额(元),支付方式,售卖时段
3536,2022-07-27,法兰基卷,快餐,50,12,600,其他,早晨
3537,2022-07-27,冰咖啡,饮品,40,10,400,现金,午夜
3538,2022-07-27,脆球点心,快餐,20,7,140,现金,早晨
3539,2022-07-27,脆球点心,快餐,20,8,160,在线支付,下午
3540,2022-07-27,法兰基卷,快餐,50,12,600,现金,早晨
3541,2022-07-27,脆球点心,快餐,20,6,120,现金,午夜
3542,2022-07-27,瓦达汉堡,快餐,20,13,260,现金,午夜
3543,2022-07-27,脆球点心,快餐,20,5,100,在线支付,午夜
3544,2022-07-27,咖喱土豆球,快餐,20,5,100,现金,傍晚
3545,2022-07-27,法兰基卷,快餐,50,12,600,其他,下午
3546,2022-07-27,瓦达汉堡,快餐,20,13,260,在线支付,下午
3547,2022-07-27,法兰基卷,快餐,50,10,500,在线支付,早晨
3548,2022-07-27,瓦达汉堡,快餐,20,11,220,其他,下午
3549,2022-07-27,咖喱土豆球,快餐,20,15,300,在线支付,午夜
3550,2022-07-27,招牌三明治,快餐,60,8,480,在线支付,傍晚
3551,2022-07-27,招牌三明治,快餐,60,1,60,其他,傍晚
3552,2022-07-27,脆球点心,快餐,20,5,100,现金,晚上
3553,2022-07-27,咖喱土豆球,快餐,20,9,180,现金,下午
3554,2022-07-27,瓦达汉堡,快餐,20,9,180,其他,午夜
3555,2022-07-27,新鲜甘蔗汁,饮品,25,7,175,现金,早晨
3556,2022-07-27,咖喱土豆球,快餐,20,15,300,现金,傍晚
3557,2022-07-27,招牌三明治,快餐,60,9,540,在线支付,傍晚
3558,2022-07-27,招牌三明治,快餐,60,7,420,在线支付,下午
3559,2022-07-27,咖喱土豆球,快餐,20,9,180,在线支付,晚上
3560,2022-07-27,招牌三明治,快餐,60,3,180,现金,午夜
3561,2022-07-27,新鲜甘蔗汁,饮品,25,2,50,现金,午夜
3562,2022-07-27,新鲜甘蔗汁,饮品,25,9,225,现金,下午
3563,2022-07-27,法兰基卷,快餐,50,9,450,在线支付,午夜
3564,2022-07-27,脆球点心,快餐,20,9,180,现金,傍晚
3565,2022-07-27,瓦达汉堡,快餐,20,1,20,现金,傍晚
3566,2022-07-27,招牌三明治,快餐,60,8,480,在线支付,下午
3567,2022-07-27,脆球点心,快餐,20,8,160,在线支付,傍晚
3568,2022-07-27,脆球点心,快餐,20,7,140,现金,傍晚
3569,2022-07-27,瓦达汉堡,快餐,20,8,160,在线支付,傍晚
3570,2022-07-27,脆球点心,快餐,20,7,140,在线支付,傍晚
3571,2022-07-27,脆球点心,快餐,20,12,240,在线支付,傍晚
3572,2022-07-27,咖喱土豆球,快餐,20,7,140,现金,早晨
3573,2022-07-27,冰咖啡,饮品,40,9,360,现金,傍晚
3574,2022-07-27,脆球点心,快餐,20,11,220,现金,傍晚
3575,2022-07-27,瓦达汉堡,快餐,20,3,60,现金,午夜
3576,2022-07-27,法兰基卷,快餐,50,8,400,在线支付,晚上
3577,2022-07-27,招牌三明治,快餐,60,8,480,在线支付,午夜
3578,2022-07-27,咖喱土豆球,快餐,20,8,160,在线支付,早晨
3579,2022-07-27,招牌三明治,快餐,60,15,900,在线支付,早晨
3580,2022-07-27,法兰基卷,快餐,50,12,600,在线支付,午夜
3581,2022-07-27,冰咖啡,饮品,40,13,520,其他,傍晚
3582,2022-07-27,招牌三明治,快餐,60,9,540,在线支付,早晨
3583,2022-07-27,新鲜甘蔗汁,饮品,25,7,175,现金,午夜
3584,2022-07-27,冰咖啡,饮品,40,15,600,现金,晚上
3585,2022-07-27,脆球点心,快餐,20,14,280,在线支付,傍晚
3586,2022-07-27,新鲜甘蔗汁,饮品,25,9,225,在线支付,下午
3587,2022-07-27,法兰基卷,快餐,50,3,150,现金,早晨
3588,2022-07-27,瓦达汉堡,快餐,20,14,280,现金,早晨
3589,2022-07-27,冰咖啡,饮品,40,12,480,在线支付,午夜
3590,2022-07-27,招牌三明治,快餐,60,8,480,现金,早晨
3591,2022-07-27,瓦达汉堡,快餐,20,1,20,在线支付,晚上
3592,2022-07-27,新鲜甘蔗汁,饮品,25,12,300,在线支付,下午
3593,2022-07-27,法兰基卷,快餐,50,10,500,现金,傍晚
3594,2022-07-27,脆球点心,快餐,20,11,220,现金,午夜
3595,2022-07-27,冰咖啡,饮品,40,3,120,现金,下午
3596,2022-07-27,脆球点心,快餐,20,10,200,在线支付,早晨
3597,2022-07-27,瓦达汉堡,快餐,20,13,260,其他,午夜
3598,2022-07-27,咖喱土豆球,快餐,20,5,100,现金,下午
3599,2022-07-27,法兰基卷,快餐,50,6,300,现金,晚上
3600,2022-07-27,脆球点心,快餐,20,1,20,在线支付,下午
3601,2022-07-27,冰咖啡,饮品,40,7,280,在线支付,午夜
3602,2022-07-27,新鲜甘蔗汁,饮品,25,12,300,在线支付,下午
3603,2022-07-27,新鲜甘蔗汁,饮品,25,14,350,其他,晚上
3604,2022-07-27,咖喱土豆球,快餐,20,11,220,现金,下午
3605,2022-07-27,脆球点心,快餐,20,8,160,现金,早晨
3606,2022-07-27,招牌三明治,快餐,60,15,900,现金,下午
3607,2022-07-27,脆球点心,快餐,20,2,40,在线支付,傍晚
3608,2022-07-27,新鲜甘蔗汁,饮品,25,2,50,在线支付,傍晚
3609,2022-07-27,脆球点心,快餐,20,5,100,在线支付,晚上
3610,2022-07-27,法兰基卷,快餐,50,6,300,其他,早晨
3611,2022-07-27,冰咖啡,饮品,40,7,280,在线支付,晚上
3612,2022-07-27,瓦达汉堡,快餐,20,3,60,现金,下午
3613,2022-07-27,冰咖啡,饮品,40,11,440,现金,傍晚
3614,2022-07-27,法兰基卷,快餐,50,13,650,现金,午夜
3615,2022-07-27,冰咖啡,饮品,40,5,200,在线支付,晚上
3616,2022-07-27,法兰基卷,快餐,50,15,750,现金,晚上
3617,2022-07-27,咖喱土豆球,快餐,20,3,60,现金,傍晚
3618,2022-07-27,瓦达汉堡,快餐,20,8,160,在线支付,傍晚
3619,2022-07-27,招牌三明治,快餐,60,13,780,在线支付,早晨
3620,2022-07-27,冰咖啡,饮品,40,5,200,在线支付,午夜
3621,2022-07-27,冰咖啡,饮品,40,8,320,现金,午夜
3622,2022-07-27,法兰基卷,快餐,50,13,650,其他,晚上
3623,2022-07-27,招牌三明治,快餐,60,1,60,现金,下午
3624,2022-07-27,咖喱土豆球,快餐,20,6,120,在线支付,午夜
3625,2022-07-27,瓦达汉堡,快餐,20,15,300,在线支付,傍晚
3626,2022-07-27,冰咖啡,饮品,40,9,360,现金,早晨
3627,2022-07-27,招牌三明治,快餐,60,5,300,现金,下午
3628,2022-07-27,招牌三明治,快餐,60,14,840,在线支付,早晨
3629,2022-07-27,法兰基卷,快餐,50,12,600,现金,下午
3630,2022-07-27,法兰基卷,快餐,50,7,350,现金,早晨
3631,2022-07-27,咖喱土豆球,快餐,20,1,20,现金,傍晚
3632,2022-07-27,法兰基卷,快餐,50,12,600,在线支付,傍晚
3633,2022-07-27,招牌三明治,快餐,60,10,600,在线支付,晚上
3634,2022-07-27,新鲜甘蔗汁,饮品,25,6,150,在线支付,傍晚
3635,2022-07-27,脆球点心,快餐,20,5,100,现金,下午
3636,2022-07-27,咖喱土豆球,快餐,20,13,260,其他,下午
3637,2022-07-27,招牌三明治,快餐,60,11,660,现金,下午
3638,2022-07-27,脆球点心,快餐,20,12,240,现金,傍晚
3639,2022-07-27,法兰基卷,快餐,50,14,700,其他,晚上
3640,2022-07-27,瓦达汉堡,快餐,20,3,60,现金,早晨
3641,2022-07-27,脆球点心,快餐,20,3,60,其他,午夜
3642,2022-07-27,瓦达汉堡,快餐,20,7,140,在线支付,傍晚
3643,2022-07-27,咖喱土豆球,快餐,20,14,280,现金,下午
3644,2022-07-27,法兰基卷,快餐,50,11,550,其他,早晨
3645,2022-07-27,新鲜甘蔗汁,饮品,25,15,375,现金,下午
3646,2022-07-27,招牌三明治,快餐,60,1,60,现金,晚上
3647,2022-07-27,冰咖啡,饮品,40,9,360,在线支付,傍晚
3648,2022-07-27,招牌三明治,快餐,60,6,360,现金,晚上
3649,2022-07-27,咖喱土豆球,快餐,20,15,300,在线支付,早晨
3650,2022-07-27,招牌三明治,快餐,60,10,600,现金,下午
3651,2022-07-27,瓦达汉堡,快餐,20,11,220,其他,午夜
3652,2022-07-27,冰咖啡,饮品,40,6,240,现金,午夜
3653,2022-07-27,瓦达汉堡,快餐,20,8,160,在线支付,午夜
3654,2022-07-27,新鲜甘蔗汁,饮品,25,9,225,现金,下午
3655,2022-07-27,新鲜甘蔗汁,饮品,25,12,300,在线支付,午夜
3656,2022-07-27,招牌三明治,快餐,60,12,720,现金,下午
3657,2022-07-27,脆球点心,快餐,20,7,140,现金,早晨
3658,2022-07-27,冰咖啡,饮品,40,4,160,现金,傍晚
3659,2022-07-27,瓦达汉堡,快餐,20,12,240,现金,傍晚
3660,2022-07-28,招牌三明治,快餐,60,6,360,现金,早晨
3661,2022-07-28,冰咖啡,饮品,40,6,240,现金,下午
3662,2022-07-28,法兰基卷,快餐,50,3,150,现金,早晨
3663,2022-07-28,脆球点心,快餐,20,1,20,现金,早晨
3664,2022-07-28,新鲜甘蔗汁,饮品,25,9,225,现金,早晨
3665,2022-07-28,咖喱土豆球,快餐,20,11,220,在线支付,下午
3666,2022-07-28,招牌三明治,快餐,60,2,120,在线支付,早晨
3667,2022-07-28,脆球点心,快餐,20,11,220,在线支付,晚上
3668,2022-07-28,招牌三明治,快餐,60,9,540,在线支付,早晨
3669,2022-07-28,脆球点心,快餐,20,6,120,现金,下午
3670,2022-07-28,冰咖啡,饮品,40,7,280,现金,傍晚
3671,2022-07-28,冰咖啡,饮品,40,13,520,现金,早晨
3672,2022-07-28,招牌三明治,快餐,60,3,180,在线支付,下午
3673,2022-07-28,脆球点心,快餐,20,15,300,在线支付,下午
3674,2022-07-28,法兰基卷,快餐,50,9,450,现金,傍晚
3675,2022-07-28,脆球点心,快餐,20,3,60,在线支付,傍晚
3676,2022-07-28,招牌三明治,快餐,60,5,300,现金,早晨
3677,2022-07-28,招牌三明治,快餐,60,12,720,现金,早晨
3678,2022-07-28,新鲜甘蔗汁,饮品,25,15,375,在线支付,早晨
3679,2022-07-28,瓦达汉堡,快餐,20,2,40,在线支付,傍晚
3680,2022-07-28,招牌三明治,快餐,60,13,780,现金,早晨
3681,2022-07-28,法兰基卷,快餐,50,12,600,现金,早晨
3682,2022-07-28,咖喱土豆球,快餐,20,3,60,在线支付,下午
3683,2022-07-28,法兰基卷,快餐,50,6,300,现金,傍晚
3684,2022-07-28,咖喱土豆球,快餐,20,2,40,现金,晚上
3685,2022-07-28,咖喱土豆球,快餐,20,3,60,在线支付,午夜
3686,2022-07-28,新鲜甘蔗汁,饮品,25,10,250,在线支付,午夜
3687,2022-07-28,法兰基卷,快餐,50,8,400,在线支付,下午
3688,2022-07-28,法兰基卷,快餐,50,11,550,现金,午夜
3689,2022-07-28,法兰基卷,快餐,50,1,50,其他,早晨
3690,2022-07-28,脆球点心,快餐,20,10,200,在线支付,下午
3691,2022-07-28,招牌三明治,快餐,60,12,720,现金,晚上
3692,2022-07-28,瓦达汉堡,快餐,20,4,80,现金,傍晚
3693,2022-07-28,咖喱土豆球,快餐,20,15,300,现金,午夜
3694,2022-07-28,脆球点心,快餐,20,12,240,现金,傍晚
3695,2022-07-28,咖喱土豆球,快餐,20,12,240,现金,傍晚
3696,2022-07-28,新鲜甘蔗汁,饮品,25,6,150,在线支付,午夜
3697,2022-07-28,咖喱土豆球,快餐,20,3,60,在线支付,午夜
3698,2022-07-28,瓦达汉堡,快餐,20,8,160,现金,午夜
3699,2022-07-28,招牌三明治,快餐,60,12,720,其他,午夜
3700,2022-07-28,招牌三明治,快餐,60,7,420,现金,下午
3701,2022-07-28,冰咖啡,饮品,40,15,600,现金,午夜
3702,2022-07-28,咖喱土豆球,快餐,20,13,260,现金,傍晚
3703,2022-07-28,瓦达汉堡,快餐,20,5,100,现金,傍晚
3704,2022-07-28,法兰基卷,快餐,50,6,300,在线支付,晚上
3705,2022-07-28,新鲜甘蔗汁,饮品,25,11,275,在线支付,傍晚
3706,2022-07-28,咖喱土豆球,快餐,20,4,80,在线支付,下午
3707,2022-07-28,脆球点心,快餐,20,7,140,现金,早晨
3708,2022-07-28,瓦达汉堡,快餐,20,6,120,现金,午夜
3709,2022-07-28,咖喱土豆球,快餐,20,13,260,在线支付,傍晚
3710,2022-07-28,冰咖啡,饮品,40,5,200,在线支付,晚上
3711,2022-07-28,新鲜甘蔗汁,饮品,25,13,325,在线支付,傍晚
3712,2022-07-28,招牌三明治,快餐,60,11,660,在线支付,午夜
3713,2022-07-28,冰咖啡,饮品,40,15,600,现金,晚上
3714,2022-07-28,新鲜甘蔗汁,饮品,25,10,250,现金,晚上
3715,2022-07-28,瓦达汉堡,快餐,20,11,220,其他,晚上
3716,2022-07-28,脆球点心,快餐,20,13,260,现金,傍晚
3717,2022-07-28,咖喱土豆球,快餐,20,1,20,在线支付,早晨
3718,2022-07-28,冰咖啡,饮品,40,4,160,现金,下午
3719,2022-07-28,新鲜甘蔗汁,饮品,25,15,375,现金,午夜
3720,2022-07-28,新鲜甘蔗汁,饮品,25,8,200,在线支付,晚上
3721,2022-07-28,冰咖啡,饮品,40,4,160,现金,下午
3722,2022-07-28,咖喱土豆球,快餐,20,12,240,在线支付,傍晚
3723,2022-07-28,咖喱土豆球,快餐,20,1,20,在线支付,午夜
3724,2022-07-28,冰咖啡,饮品,40,8,320,其他,下午
3725,2022-07-28,冰咖啡,饮品,40,11,440,其他,早晨
3726,2022-07-28,咖喱土豆球,快餐,20,7,140,现金,午夜
3727,2022-07-28,瓦达汉堡,快餐,20,13,260,其他,傍晚
3728,2022-07-28,新鲜甘蔗汁,饮品,25,12,300,在线支付,午夜
3729,2022-07-28,脆球点心,快餐,20,14,280,现金,下午
3730,2022-07-28,新鲜甘蔗汁,饮品,25,15,375,现金,午夜
3731,2022-07-28,脆球点心,快餐,20,15,300,其他,晚上
3732,2022-07-28,法兰基卷,快餐,50,6,300,现金,早晨
3733,2022-07-28,咖喱土豆球,快餐,20,9,180,现金,下午
3734,2022-07-28,咖喱土豆球,快餐,20,6,120,在线支付,晚上
3735,2022-07-28,新鲜甘蔗汁,饮品,25,7,175,其他,早晨
3736,2022-07-28,瓦达汉堡,快餐,20,12,240,在线支付,晚上
3737,2022-07-28,咖喱土豆球,快餐,20,8,160,在线支付,傍晚
3738,2022-07-28,咖喱土豆球,快餐,20,8,160,在线支付,午夜
3739,2022-07-28,法兰基卷,快餐,50,8,400,其他,晚上
3740,2022-07-28,冰咖啡,饮品,40,12,480,现金,下午
3741,2022-07-28,新鲜甘蔗汁,饮品,25,5,125,其他,午夜
3742,2022-07-28,新鲜甘蔗汁,饮品,25,8,200,在线支付,傍晚
3743,2022-07-28,瓦达汉堡,快餐,20,9,180,现金,下午
3744,2022-07-28,咖喱土豆球,快餐,20,9,180,现金,傍晚
3745,2022-07-28,瓦达汉堡,快餐,20,5,100,在线支付,早晨
3746,2022-07-28,脆球点心,快餐,20,5,100,现金,下午
3747,2022-07-28,法兰基卷,快餐,50,9,450,在线支付,下午
3748,2022-07-28,咖喱土豆球,快餐,20,3,60,在线支付,晚上
3749,2022-07-28,脆球点心,快餐,20,7,140,其他,下午
3750,2022-07-28,新鲜甘蔗汁,饮品,25,11,275,其他,下午
3751,2022-07-28,招牌三明治,快餐,60,10,600,现金,早晨
3752,2022-07-28,冰咖啡,饮品,40,7,280,在线支付,傍晚
3753,2022-07-28,瓦达汉堡,快餐,20,15,300,现金,傍晚
3754,2022-07-28,瓦达汉堡,快餐,20,12,240,在线支付,晚上
3755,2022-07-28,新鲜甘蔗汁,饮品,25,8,200,现金,午夜
3756,2022-07-28,脆球点心,快餐,20,15,300,在线支付,午夜
3757,2022-07-28,新鲜甘蔗汁,饮品,25,15,375,在线支付,傍晚
3758,2022-07-28,冰咖啡,饮品,40,13,520,在线支付,早晨
3759,2022-07-28,法兰基卷,快餐,50,5,250,现金,早晨
3760,2022-07-28,法兰基卷,快餐,50,3,150,在线支付,傍晚
3761,2022-07-28,冰咖啡,饮品,40,7,280,现金,午夜
3762,2022-07-28,冰咖啡,饮品,40,7,280,其他,午夜
3763,2022-07-28,招牌三明治,快餐,60,11,660,在线支付,傍晚
3764,2022-07-28,脆球点心,快餐,20,9,180,在线支付,早晨
3765,2022-07-28,新鲜甘蔗汁,饮品,25,7,175,现金,傍晚
3766,2022-07-28,咖喱土豆球,快餐,20,11,220,在线支付,晚上
3767,2022-07-28,瓦达汉堡,快餐,20,6,120,在线支付,傍晚
3768,2022-07-28,咖喱土豆球,快餐,20,3,60,在线支付,傍晚
3769,2022-07-28,招牌三明治,快餐,60,1,60,在线支付,早晨
3770,2022-07-28,冰咖啡,饮品,40,4,160,在线支付,午夜
3771,2022-07-28,咖喱土豆球,快餐,20,5,100,在线支付,早晨
3772,2022-07-28,冰咖啡,饮品,40,12,480,现金,晚上
3773,2022-07-28,瓦达汉堡,快餐,20,5,100,在线支付,早晨
3774,2022-07-28,法兰基卷,快餐,50,11,550,在线支付,傍晚
3775,2022-07-28,冰咖啡,饮品,40,15,600,现金,晚上
3776,2022-07-28,法兰基卷,快餐,50,9,450,现金,傍晚
3777,2022-07-28,冰咖啡,饮品,40,9,360,在线支付,下午
3778,2022-07-28,瓦达汉堡,快餐,20,9,180,在线支付,下午
3779,2022-07-28,脆球点心,快餐,20,11,220,现金,下午
3780,2022-07-28,新鲜甘蔗汁,饮品,25,8,200,在线支付,傍晚
3781,2022-07-28,瓦达汉堡,快餐,20,12,240,在线支付,晚上
3782,2022-07-28,脆球点心,快餐,20,15,300,其他,早晨
3783,2022-07-28,新鲜甘蔗汁,饮品,25,11,275,现金,下午
3784,2022-07-28,瓦达汉堡,快餐,20,13,260,现金,傍晚
3785,2022-07-28,脆球点心,快餐,20,15,300,现金,午夜
3786,2022-07-28,咖喱土豆球,快餐,20,11,220,现金,早晨
3787,2022-07-28,新鲜甘蔗汁,饮品,25,5,125,在线支付,傍晚
3788,2022-07-28,冰咖啡,饮品,40,11,440,现金,早晨
3789,2022-07-28,新鲜甘蔗汁,饮品,25,9,225,现金,晚上
3790,2022-07-28,招牌三明治,快餐,60,5,300,现金,午夜
3791,2022-07-28,瓦达汉堡,快餐,20,13,260,现金,晚上
3792,2022-07-28,冰咖啡,饮品,40,15,600,现金,晚上
3793,2022-07-28,冰咖啡,饮品,40,8,320,在线支付,午夜
3794,2022-07-28,瓦达汉堡,快餐,20,10,200,现金,傍晚
3795,2022-07-28,咖喱土豆球,快餐,20,9,180,现金,下午
3796,2022-07-28,瓦达汉堡,快餐,20,1,20,现金,下午
3797,2022-07-28,脆球点心,快餐,20,4,80,在线支付,午夜
3798,2022-07-28,新鲜甘蔗汁,饮品,25,10,250,现金,傍晚
3799,2022-07-28,招牌三明治,快餐,60,3,180,现金,傍晚
3800,2022-07-28,脆球点心,快餐,20,1,20,现金,晚上
3801,2022-07-28,冰咖啡,饮品,40,7,280,现金,午夜
3802,2022-07-28,咖喱土豆球,快餐,20,15,300,在线支付,晚上
3803,2022-07-28,招牌三明治,快餐,60,2,120,在线支付,下午
3804,2022-07-28,瓦达汉堡,快餐,20,2,40,在线支付,下午
3805,2022-07-28,脆球点心,快餐,20,13,260,现金,晚上
3806,2022-07-28,法兰基卷,快餐,50,6,300,现金,午夜
3807,2022-07-28,咖喱土豆球,快餐,20,8,160,其他,早晨
3808,2022-07-28,招牌三明治,快餐,60,11,660,其他,午夜
3809,2022-07-28,冰咖啡,饮品,40,5,200,其他,晚上
3810,2022-07-29,瓦达汉堡,快餐,20,10,200,现金,下午
3811,2022-07-29,瓦达汉堡,快餐,20,12,240,在线支付,傍晚
3812,2022-07-29,咖喱土豆球,快餐,20,15,300,在线支付,下午
3813,2022-07-29,冰咖啡,饮品,40,15,600,其他,傍晚
3814,2022-07-29,招牌三明治,快餐,60,13,780,在线支付,傍晚
3815,2022-07-29,咖喱土豆球,快餐,20,14,280,在线支付,傍晚
3816,2022-07-29,瓦达汉堡,快餐,20,3,60,现金,午夜
3817,2022-07-29,脆球点心,快餐,20,5,100,现金,早晨
3818,2022-07-29,脆球点心,快餐,20,1,20,其他,早晨
3819,2022-07-29,冰咖啡,饮品,40,5,200,在线支付,晚上
3820,2022-07-29,招牌三明治,快餐,60,7,420,在线支付,晚上
3821,2022-07-29,法兰基卷,快餐,50,8,400,在线支付,午夜
3822,2022-07-29,新鲜甘蔗汁,饮品,25,13,325,在线支付,晚上
3823,2022-07-29,法兰基卷,快餐,50,9,450,在线支付,早晨
3824,2022-07-29,法兰基卷,快餐,50,15,750,现金,晚上
3825,2022-07-29,瓦达汉堡,快餐,20,15,300,现金,傍晚
3826,2022-07-29,瓦达汉堡,快餐,20,15,300,现金,晚上
3827,2022-07-29,新鲜甘蔗汁,饮品,25,1,25,其他,傍晚
3828,2022-07-29,瓦达汉堡,快餐,20,1,20,在线支付,傍晚
3829,2022-07-29,招牌三明治,快餐,60,4,240,其他,晚上
3830,2022-07-29,新鲜甘蔗汁,饮品,25,6,150,在线支付,下午
3831,2022-07-29,冰咖啡,饮品,40,4,160,在线支付,下午
3832,2022-07-29,新鲜甘蔗汁,饮品,25,15,375,在线支付,晚上
3833,2022-07-29,法兰基卷,快餐,50,8,400,现金,傍晚
3834,2022-07-29,咖喱土豆球,快餐,20,15,300,在线支付,早晨
3835,2022-07-29,招牌三明治,快餐,60,3,180,现金,晚上
3836,2022-07-29,瓦达汉堡,快餐,20,6,120,在线支付,晚上
3837,2022-07-29,法兰基卷,快餐,50,8,400,在线支付,下午
3838,2022-07-29,招牌三明治,快餐,60,11,660,现金,傍晚
3839,2022-07-29,新鲜甘蔗汁,饮品,25,6,150,在线支付,晚上
3840,2022-07-29,瓦达汉堡,快餐,20,6,120,现金,午夜
3841,2022-07-29,冰咖啡,饮品,40,9,360,在线支付,午夜
3842,2022-07-29,法兰基卷,快餐,50,6,300,现金,午夜
3843,2022-07-29,新鲜甘蔗汁,饮品,25,2,50,在线支付,傍晚
3844,2022-07-29,冰咖啡,饮品,40,8,320,现金,晚上
3845,2022-07-29,瓦达汉堡,快餐,20,9,180,在线支付,晚上
3846,2022-07-29,冰咖啡,饮品,40,13,520,在线支付,下午
3847,2022-07-29,冰咖啡,饮品,40,8,320,在线支付,早晨
3848,2022-07-29,瓦达汉堡,快餐,20,10,200,现金,晚上
3849,2022-07-29,冰咖啡,饮品,40,7,280,在线支付,晚上
3850,2022-07-29,冰咖啡,饮品,40,11,440,在线支付,晚上
3851,2022-07-29,新鲜甘蔗汁,饮品,25,11,275,现金,下午
3852,2022-07-29,法兰基卷,快餐,50,4,200,在线支付,下午
3853,2022-07-29,脆球点心,快餐,20,7,140,其他,下午
3854,2022-07-29,冰咖啡,饮品,40,8,320,现金,午夜
3855,2022-07-29,法兰基卷,快餐,50,6,300,在线支付,傍晚
3856,2022-07-29,瓦达汉堡,快餐,20,11,220,其他,傍晚
3857,2022-07-29,咖喱土豆球,快餐,20,12,240,现金,傍晚
3858,2022-07-29,咖喱土豆球,快餐,20,11,220,现金,午夜
3859,2022-07-29,冰咖啡,饮品,40,9,360,现金,午夜
3860,2022-07-29,法兰基卷,快餐,50,14,700,现金,晚上
3861,2022-07-29,咖喱土豆球,快餐,20,8,160,现金,早晨
3862,2022-07-29,招牌三明治,快餐,60,14,840,现金,傍晚
3863,2022-07-29,新鲜甘蔗汁,饮品,25,4,100,现金,晚上
3864,2022-07-29,脆球点心,快餐,20,6,120,在线支付,午夜
3865,2022-07-29,脆球点心,快餐,20,11,220,其他,晚上
3866,2022-07-29,法兰基卷,快餐,50,9,450,现金,晚上
3867,2022-07-29,法兰基卷,快餐,50,12,600,现金,早晨
3868,2022-07-29,瓦达汉堡,快餐,20,6,120,在线支付,下午
3869,2022-07-29,瓦达汉堡,快餐,20,13,260,现金,下午
3870,2022-07-29,新鲜甘蔗汁,饮品,25,6,150,在线支付,下午
3871,2022-07-29,冰咖啡,饮品,40,1,40,现金,晚上
3872,2022-07-29,法兰基卷,快餐,50,9,450,现金,晚上
3873,2022-07-29,法兰基卷,快餐,50,14,700,现金,傍晚
3874,2022-07-29,脆球点心,快餐,20,5,100,其他,下午
3875,2022-07-29,冰咖啡,饮品,40,13,520,其他,晚上
3876,2022-07-29,招牌三明治,快餐,60,6,360,现金,傍晚
3877,2022-07-29,瓦达汉堡,快餐,20,6,120,其他,午夜
3878,2022-07-29,脆球点心,快餐,20,13,260,在线支付,傍晚
3879,2022-07-29,咖喱土豆球,快餐,20,4,80,在线支付,早晨
3880,2022-07-29,招牌三明治,快餐,60,11,660,其他,下午
3881,2022-07-29,招牌三明治,快餐,60,13,780,在线支付,早晨
3882,2022-07-29,法兰基卷,快餐,50,8,400,现金,下午
3883,2022-07-29,新鲜甘蔗汁,饮品,25,8,200,在线支付,午夜
3884,2022-07-29,招牌三明治,快餐,60,1,60,现金,下午
3885,2022-07-29,法兰基卷,快餐,50,12,600,现金,傍晚
3886,2022-07-29,法兰基卷,快餐,50,7,350,在线支付,晚上
3887,2022-07-29,冰咖啡,饮品,40,11,440,现金,晚上
3888,2022-07-29,脆球点心,快餐,20,2,40,在线支付,午夜
3889,2022-07-29,咖喱土豆球,快餐,20,2,40,在线支付,傍晚
3890,2022-07-29,脆球点心,快餐,20,11,220,现金,早晨
3891,2022-07-29,脆球点心,快餐,20,13,260,在线支付,下午
3892,2022-07-29,招牌三明治,快餐,60,13,780,在线支付,下午
3893,2022-07-29,招牌三明治,快餐,60,4,240,在线支付,傍晚
3894,2022-07-29,咖喱土豆球,快餐,20,9,180,现金,晚上
3895,2022-07-29,瓦达汉堡,快餐,20,4,80,在线支付,晚上
3896,2022-07-29,冰咖啡,饮品,40,9,360,在线支付,午夜
3897,2022-07-29,招牌三明治,快餐,60,5,300,现金,午夜
3898,2022-07-29,脆球点心,快餐,20,5,100,现金,晚上
3899,2022-07-29,脆球点心,快餐,20,2,40,现金,早晨
3900,2022-07-29,咖喱土豆球,快餐,20,15,300,现金,早晨
3901,2022-07-29,新鲜甘蔗汁,饮品,25,11,275,在线支付,早晨
3902,2022-07-29,冰咖啡,饮品,40,3,120,其他,下午
3903,2022-07-29,招牌三明治,快餐,60,11,660,其他,早晨
3904,2022-07-29,脆球点心,快餐,20,3,60,现金,早晨
3905,2022-07-29,冰咖啡,饮品,40,15,600,在线支付,午夜
3906,2022-07-29,冰咖啡,饮品,40,10,400,现金,午夜
3907,2022-07-29,冰咖啡,饮品,40,9,360,现金,早晨
3908,2022-07-29,瓦达汉堡,快餐,20,14,280,在线支付,傍晚
3909,2022-07-29,招牌三明治,快餐,60,7,420,现金,晚上
3910,2022-07-29,新鲜甘蔗汁,饮品,25,11,275,在线支付,午夜
3911,2022-07-29,咖喱土豆球,快餐,20,9,180,现金,早晨
3912,2022-07-29,招牌三明治,快餐,60,14,840,在线支付,晚上
3913,2022-07-29,咖喱土豆球,快餐,20,4,80,现金,午夜
3914,2022-07-29,咖喱土豆球,快餐,20,3,60,在线支付,傍晚
3915,2022-07-29,新鲜甘蔗汁,饮品,25,12,300,在线支付,午夜
3916,2022-07-29,咖喱土豆球,快餐,20,12,240,现金,早晨
3917,2022-07-29,瓦达汉堡,快餐,20,9,180,现金,晚上
3918,2022-07-29,新鲜甘蔗汁,饮品,25,6,150,现金,午夜
3919,2022-07-29,咖喱土豆球,快餐,20,9,180,在线支付,早晨
3920,2022-07-29,脆球点心,快餐,20,14,280,在线支付,晚上
3921,2022-07-29,冰咖啡,饮品,40,6,240,现金,晚上
3922,2022-07-29,冰咖啡,饮品,40,5,200,现金,早晨
3923,2022-07-29,冰咖啡,饮品,40,13,520,现金,早晨
