订单ID,日期,菜品名称,菜品分类,单价,数量,交易金额,支付方式,售卖时段
444,,法兰基卷,快餐,50,4,200,其他,傍晚
445,,招牌三明治,快餐,60,14,840,在线支付,早晨
446,,冰咖啡,饮品,40,9,360,现金,晚上
447,,法兰基卷,快餐,50,6,300,在线支付,下午
448,,瓦达汉堡,快餐,20,6,120,现金,傍晚
449,2022-09-09,法兰基卷,快餐,50,4,200,现金,下午
450,,新鲜甘蔗汁,饮品,25,1,25,在线支付,早晨
451,,新鲜甘蔗汁,饮品,25,10,250,现金,午夜
452,,法兰基卷,快餐,50,5,250,在线支付,下午
453,,招牌三明治,快餐,60,1,60,在线支付,午夜
454,2023-03-07,招牌三明治,快餐,60,1,60,在线支付,傍晚
455,2023-03-01,冰咖啡,饮品,40,11,440,现金,午夜
456,,冰咖啡,饮品,40,13,520,其他,晚上
457,,冰咖啡,饮品,40,11,440,现金,傍晚
458,2022-09-12,新鲜甘蔗汁,饮品,25,8,200,现金,午夜
459,2022-06-08,瓦达汉堡,快餐,20,14,280,现金,晚上
460,,咖喱土豆球,快餐,20,2,40,现金,早晨
461,,新鲜甘蔗汁,饮品,25,5,125,现金,午夜
462,,瓦达汉堡,快餐,20,3,60,现金,早晨
463,2022-06-11,招牌三明治,快餐,60,6,360,在线支付,午夜
464,,新鲜甘蔗汁,饮品,25,13,325,现金,早晨
465,,新鲜甘蔗汁,饮品,25,12,300,在线支付,傍晚
466,2023-01-11,脆球点心,快餐,20,6,120,现金,傍晚
467,,咖喱土豆球,快餐,20,11,220,在线支付,早晨
468,2022-09-08,脆球点心,快餐,20,2,40,现金,傍晚
469,,招牌三明治,快餐,60,7,420,在线支付,早晨
470,,瓦达汉堡,快餐,20,8,160,现金,早晨
471,,脆球点心,快餐,20,7,140,现金,下午
472,2023-01-11,脆球点心,快餐,20,10,200,其他,午夜
473,2022-09-04,招牌三明治,快餐,60,5,300,现金,傍晚
474,,新鲜甘蔗汁,饮品,25,15,375,现金,晚上
475,,冰咖啡,饮品,40,6,240,现金,晚上
476,2023-02-02,咖喱土豆球,快餐,20,10,200,现金,早晨
477,,招牌三明治,快餐,60,15,900,现金,午夜
478,,新鲜甘蔗汁,饮品,25,9,225,现金,下午
479,,招牌三明治,快餐,60,11,660,现金,下午
480,2022-10-02,瓦达汉堡,快餐,20,12,240,现金,傍晚
481,,新鲜甘蔗汁,饮品,25,4,100,现金,傍晚
482,,咖喱土豆球,快餐,20,1,20,在线支付,下午
483,,脆球点心,快餐,20,9,180,现金,早晨
484,,冰咖啡,饮品,40,5,200,现金,下午
485,,咖喱土豆球,快餐,20,6,120,现金,午夜
486,,瓦达汉堡,快餐,20,6,120,现金,午夜
487,,招牌三明治,快餐,60,9,540,现金,午夜
488,,冰咖啡,饮品,40,10,400,现金,午夜
489,2023-02-03,法兰基卷,快餐,50,13,650,在线支付,傍晚
490,,冰咖啡,饮品,40,8,320,现金,早晨
491,,瓦达汉堡,快餐,20,2,40,在线支付,午夜
492,2022-07-11,招牌三明治,快餐,60,15,900,现金,下午
493,2022-10-02,冰咖啡,饮品,40,2,80,在线支付,早晨
494,,冰咖啡,饮品,40,10,400,现金,晚上
495,,咖喱土豆球,快餐,20,13,260,在线支付,午夜
496,2022-11-07,冰咖啡,饮品,40,10,400,在线支付,晚上
497,,招牌三明治,快餐,60,7,420,现金,午夜
498,,法兰基卷,快餐,50,1,50,现金,午夜
499,,招牌三明治,快餐,60,8,480,在线支付,傍晚
500,2022-04-08,瓦达汉堡,快餐,20,4,80,在线支付,午夜
501,2022-08-09,新鲜甘蔗汁,饮品,25,14,350,在线支付,下午
502,2023-01-04,脆球点心,快餐,20,13,260,在线支付,晚上
503,2022-11-04,咖喱土豆球,快餐,20,13,260,现金,早晨
504,2022-12-09,冰咖啡,饮品,40,8,320,现金,傍晚
505,2023-02-12,法兰基卷,快餐,50,4,200,现金,晚上
506,,冰咖啡,饮品,40,12,480,现金,午夜
507,,咖喱土豆球,快餐,20,14,280,在线支付,早晨
508,2022-12-10,招牌三明治,快餐,60,1,60,现金,晚上
509,,瓦达汉堡,快餐,20,11,220,在线支付,傍晚
510,2022-04-04,招牌三明治,快餐,60,14,840,在线支付,下午
511,2022-08-02,脆球点心,快餐,20,4,80,现金,晚上
512,2023-01-11,脆球点心,快餐,20,3,60,现金,下午
513,,冰咖啡,饮品,40,5,200,现金,晚上
514,,冰咖啡,饮品,40,8,320,在线支付,傍晚
515,2022-11-02,招牌三明治,快餐,60,7,420,其他,晚上
516,,新鲜甘蔗汁,饮品,25,12,300,在线支付,午夜
517,2022-07-02,脆球点心,快餐,20,13,260,在线支付,傍晚
518,2022-12-09,咖喱土豆球,快餐,20,6,120,现金,早晨
519,,冰咖啡,饮品,40,10,400,现金,早晨
520,2022-04-03,脆球点心,快餐,20,11,220,在线支付,晚上
521,,脆球点心,快餐,20,14,280,在线支付,早晨
522,,脆球点心,快餐,20,13,260,现金,午夜
523,2022-11-03,法兰基卷,快餐,50,6,300,现金,下午
524,2022-05-01,咖喱土豆球,快餐,20,13,260,在线支付,下午
525,2022-05-04,瓦达汉堡,快餐,20,3,60,现金,午夜
526,2022-07-04,招牌三明治,快餐,60,10,600,现金,傍晚
527,2023-01-06,新鲜甘蔗汁,饮品,25,6,150,现金,下午
528,2022-07-01,新鲜甘蔗汁,饮品,25,7,175,现金,午夜
529,,咖喱土豆球,快餐,20,12,240,其他,下午
530,,脆球点心,快餐,20,6,120,现金,晚上
531,2022-10-04,冰咖啡,饮品,40,10,400,现金,晚上
532,,脆球点心,快餐,20,13,260,在线支付,午夜
533,2023-02-05,法兰基卷,快餐,50,2,100,其他,晚上
534,,瓦达汉堡,快餐,20,2,40,在线支付,晚上
535,2022-09-05,招牌三明治,快餐,60,4,240,在线支付,午夜
536,2023-03-01,新鲜甘蔗汁,饮品,25,7,175,现金,傍晚
537,,脆球点心,快餐,20,3,60,现金,傍晚
538,2022-06-05,脆球点心,快餐,20,7,140,在线支付,早晨
539,2022-09-07,脆球点心,快餐,20,3,60,在线支付,傍晚
540,,瓦达汉堡,快餐,20,13,260,现金,下午
541,,脆球点心,快餐,20,12,240,现金,晚上
542,2022-08-04,新鲜甘蔗汁,饮品,25,9,225,现金,傍晚
543,2022-04-10,咖喱土豆球,快餐,20,15,300,现金,傍晚
544,,招牌三明治,快餐,60,15,900,在线支付,早晨
545,2023-01-01,招牌三明治,快餐,60,13,780,在线支付,午夜
546,2022-07-09,咖喱土豆球,快餐,20,1,20,现金,午夜
547,,冰咖啡,饮品,40,10,400,在线支付,早晨
548,,冰咖啡,饮品,40,14,560,现金,下午
549,,新鲜甘蔗汁,饮品,25,3,75,在线支付,下午
550,,冰咖啡,饮品,40,15,600,在线支付,下午
551,,新鲜甘蔗汁,饮品,25,7,175,现金,傍晚
552,2022-09-12,新鲜甘蔗汁,饮品,25,15,375,现金,午夜
553,2022-11-11,脆球点心,快餐,20,14,280,现金,傍晚
554,2023-03-09,脆球点心,快餐,20,4,80,现金,下午
555,,招牌三明治,快餐,60,6,360,现金,傍晚
556,,瓦达汉堡,快餐,20,9,180,现金,晚上
557,,招牌三明治,快餐,60,2,120,现金,傍晚
558,2022-10-01,脆球点心,快餐,20,5,100,在线支付,早晨
559,,冰咖啡,饮品,40,5,200,在线支付,晚上
560,2022-12-10,新鲜甘蔗汁,饮品,25,1,25,现金,傍晚
561,,脆球点心,快餐,20,1,20,现金,午夜
562,2022-08-09,法兰基卷,快餐,50,4,200,现金,下午
563,,法兰基卷,快餐,50,7,350,在线支付,傍晚
564,,冰咖啡,饮品,40,2,80,其他,早晨
565,,脆球点心,快餐,20,15,300,现金,傍晚
566,,法兰基卷,快餐,50,3,150,现金,傍晚
567,,冰咖啡,饮品,40,7,280,在线支付,下午
568,,脆球点心,快餐,20,12,240,其他,下午
569,2023-01-02,冰咖啡,饮品,40,15,600,在线支付,午夜
570,,新鲜甘蔗汁,饮品,25,4,100,现金,早晨
571,,新鲜甘蔗汁,饮品,25,1,25,现金,傍晚
572,2022-04-02,招牌三明治,快餐,60,15,900,现金,下午
573,2022-09-07,法兰基卷,快餐,50,2,100,现金,下午
574,,咖喱土豆球,快餐,20,1,20,现金,晚上
575,,瓦达汉堡,快餐,20,1,20,在线支付,午夜
576,,脆球点心,快餐,20,12,240,现金,下午
577,2022-09-06,冰咖啡,饮品,40,7,280,现金,傍晚
578,,法兰基卷,快餐,50,5,250,在线支付,晚上
579,,脆球点心,快餐,20,2,40,现金,傍晚
580,2022-07-01,脆球点心,快餐,20,10,200,在线支付,晚上
581,,新鲜甘蔗汁,饮品,25,13,325,现金,下午
582,2022-05-12,咖喱土豆球,快餐,20,13,260,现金,早晨
583,,法兰基卷,快餐,50,8,400,现金,晚上
584,2022-12-04,冰咖啡,饮品,40,15,600,现金,早晨
585,2023-03-05,瓦达汉堡,快餐,20,11,220,现金,早晨
586,,招牌三明治,快餐,60,15,900,在线支付,晚上
587,2022-04-09,咖喱土豆球,快餐,20,10,200,现金,晚上
588,,法兰基卷,快餐,50,11,550,现金,早晨
589,,冰咖啡,饮品,40,5,200,现金,晚上
590,,脆球点心,快餐,20,15,300,在线支付,午夜
591,2022-10-01,招牌三明治,快餐,60,13,780,现金,早晨
592,2022-12-04,新鲜甘蔗汁,饮品,25,7,175,现金,早晨
593,,新鲜甘蔗汁,饮品,25,9,225,现金,傍晚
594,,法兰基卷,快餐,50,6,300,现金,早晨
595,,法兰基卷,快餐,50,9,450,在线支付,下午
596,,冰咖啡,饮品,40,1,40,在线支付,晚上
597,,脆球点心,快餐,20,10,200,在线支付,午夜
598,2022-08-02,冰咖啡,饮品,40,8,320,现金,下午
599,2022-10-03,法兰基卷,快餐,50,13,650,现金,早晨
600,,脆球点心,快餐,20,6,120,现金,早晨
601,2022-11-01,咖喱土豆球,快餐,20,12,240,在线支付,早晨
602,,咖喱土豆球,快餐,20,10,200,现金,晚上
603,,瓦达汉堡,快餐,20,10,200,现金,下午
604,2022-09-08,法兰基卷,快餐,50,10,500,现金,晚上
605,2022-04-04,冰咖啡,饮品,40,15,600,其他,下午
606,2022-04-09,冰咖啡,饮品,40,6,240,现金,晚上
607,,瓦达汉堡,快餐,20,9,180,现金,下午
608,,咖喱土豆球,快餐,20,1,20,在线支付,午夜
609,2023-02-07,咖喱土豆球,快餐,20,14,280,其他,午夜
610,2022-05-08,法兰基卷,快餐,50,13,650,在线支付,傍晚
611,,咖喱土豆球,快餐,20,2,40,在线支付,早晨
612,2023-02-06,咖喱土豆球,快餐,20,3,60,在线支付,午夜
613,2022-06-10,瓦达汉堡,快餐,20,5,100,在线支付,晚上
614,,瓦达汉堡,快餐,20,2,40,其他,早晨
615,,招牌三明治,快餐,60,14,840,其他,早晨
616,,瓦达汉堡,快餐,20,6,120,在线支付,午夜
617,,新鲜甘蔗汁,饮品,25,2,50,现金,晚上
618,2022-04-08,法兰基卷,快餐,50,1,50,在线支付,傍晚
619,2022-09-09,新鲜甘蔗汁,饮品,25,4,100,现金,早晨
620,,脆球点心,快餐,20,12,240,在线支付,傍晚
621,,咖喱土豆球,快餐,20,2,40,在线支付,傍晚
622,,脆球点心,快餐,20,13,260,在线支付,下午
623,2022-04-02,冰咖啡,饮品,40,15,600,现金,午夜
624,2023-03-08,招牌三明治,快餐,60,9,540,现金,早晨
625,,招牌三明治,快餐,60,15,900,在线支付,早晨
626,2023-02-01,冰咖啡,饮品,40,15,600,现金,晚上
627,,新鲜甘蔗汁,饮品,25,15,375,在线支付,下午
628,2022-05-02,冰咖啡,饮品,40,10,400,其他,晚上
629,,新鲜甘蔗汁,饮品,25,9,225,现金,傍晚
630,,法兰基卷,快餐,50,7,350,其他,早晨
631,2022-07-01,冰咖啡,饮品,40,13,520,现金,傍晚
632,,脆球点心,快餐,20,9,180,在线支付,晚上
633,,冰咖啡,饮品,40,3,120,在线支付,傍晚
634,,脆球点心,快餐,20,13,260,现金,下午
635,2023-02-06,瓦达汉堡,快餐,20,15,300,在线支付,晚上
636,,冰咖啡,饮品,40,12,480,其他,早晨
637,,咖喱土豆球,快餐,20,7,140,现金,午夜
638,,冰咖啡,饮品,40,11,440,在线支付,下午
639,,瓦达汉堡,快餐,20,14,280,现金,早晨
640,2023-01-04,招牌三明治,快餐,60,15,900,在线支付,晚上
641,2023-02-09,瓦达汉堡,快餐,20,15,300,现金,下午
642,2022-05-09,冰咖啡,饮品,40,10,400,在线支付,早晨
643,,新鲜甘蔗汁,饮品,25,2,50,现金,下午
644,2023-02-03,脆球点心,快餐,20,5,100,在线支付,傍晚
645,,招牌三明治,快餐,60,9,540,现金,晚上
646,,瓦达汉堡,快餐,20,14,280,在线支付,下午
647,2022-06-05,瓦达汉堡,快餐,20,3,60,现金,下午
648,,招牌三明治,快餐,60,7,420,现金,晚上
649,2022-11-05,法兰基卷,快餐,50,9,450,现金,午夜
650,2022-04-07,招牌三明治,快餐,60,13,780,在线支付,早晨
651,2022-07-11,招牌三明治,快餐,60,10,600,在线支付,午夜
652,,冰咖啡,饮品,40,13,520,在线支付,下午
653,,法兰基卷,快餐,50,10,500,在线支付,午夜
654,2023-03-04,瓦达汉堡,快餐,20,9,180,现金,早晨
655,,新鲜甘蔗汁,饮品,25,12,300,在线支付,早晨
656,,招牌三明治,快餐,60,6,360,在线支付,午夜
657,2023-01-10,冰咖啡,饮品,40,7,280,其他,午夜
658,2022-10-10,咖喱土豆球,快餐,20,12,240,其他,下午
659,,脆球点心,快餐,20,2,40,在线支付,下午
660,,招牌三明治,快餐,60,9,540,现金,晚上
661,2022-10-11,法兰基卷,快餐,50,7,350,在线支付,午夜
662,,脆球点心,快餐,20,3,60,在线支付,下午
663,2023-02-05,新鲜甘蔗汁,饮品,25,1,25,在线支付,晚上
664,,法兰基卷,快餐,50,10,500,在线支付,早晨
665,2022-05-06,咖喱土豆球,快餐,20,14,280,在线支付,傍晚
666,,脆球点心,快餐,20,9,180,现金,傍晚
667,,瓦达汉堡,快餐,20,3,60,现金,傍晚
668,2022-05-11,咖喱土豆球,快餐,20,4,80,在线支付,早晨
669,,招牌三明治,快餐,60,11,660,在线支付,傍晚
670,2022-07-05,脆球点心,快餐,20,15,300,现金,晚上
671,2022-10-09,招牌三明治,快餐,60,2,120,在线支付,下午
672,,冰咖啡,饮品,40,3,120,其他,傍晚
673,,招牌三明治,快餐,60,12,720,现金,午夜
674,,新鲜甘蔗汁,饮品,25,13,325,其他,早晨
675,,招牌三明治,快餐,60,12,720,现金,晚上
676,2022-05-04,法兰基卷,快餐,50,7,350,现金,傍晚
677,,冰咖啡,饮品,40,3,120,在线支付,早晨
678,,咖喱土豆球,快餐,20,3,60,在线支付,傍晚
679,2022-11-02,招牌三明治,快餐,60,12,720,在线支付,早晨
680,,冰咖啡,饮品,40,4,160,现金,晚上
681,2022-12-09,法兰基卷,快餐,50,9,450,在线支付,晚上
682,2022-10-11,咖喱土豆球,快餐,20,14,280,在线支付,午夜
683,2022-08-12,法兰基卷,快餐,50,15,750,现金,午夜
684,,瓦达汉堡,快餐,20,5,100,现金,下午
685,,咖喱土豆球,快餐,20,3,60,现金,下午
686,,冰咖啡,饮品,40,5,200,现金,下午
687,,瓦达汉堡,快餐,20,10,200,现金,午夜
688,,法兰基卷,快餐,50,5,250,在线支付,下午
689,,瓦达汉堡,快餐,20,6,120,现金,下午
690,2022-10-05,瓦达汉堡,快餐,20,9,180,现金,晚上
691,2022-04-01,招牌三明治,快餐,60,7,420,现金,傍晚
692,,法兰基卷,快餐,50,14,700,在线支付,下午
693,,新鲜甘蔗汁,饮品,25,13,325,在线支付,午夜
694,,脆球点心,快餐,20,14,280,现金,午夜
695,,脆球点心,快餐,20,10,200,在线支付,午夜
696,,新鲜甘蔗汁,饮品,25,3,75,在线支付,傍晚
697,2022-05-05,新鲜甘蔗汁,饮品,25,5,125,现金,午夜
698,,脆球点心,快餐,20,10,200,在线支付,晚上
699,2022-09-09,冰咖啡,饮品,40,1,40,在线支付,傍晚
700,,法兰基卷,快餐,50,6,300,现金,傍晚
701,,新鲜甘蔗汁,饮品,25,14,350,在线支付,傍晚
702,,冰咖啡,饮品,40,13,520,现金,下午
703,2022-11-01,脆球点心,快餐,20,10,200,在线支付,下午
704,,招牌三明治,快餐,60,1,60,在线支付,傍晚
705,2022-10-07,招牌三明治,快餐,60,6,360,在线支付,傍晚
706,2023-02-05,法兰基卷,快餐,50,8,400,在线支付,晚上
707,,脆球点心,快餐,20,2,40,在线支付,晚上
708,,招牌三明治,快餐,60,5,300,现金,午夜
709,,冰咖啡,饮品,40,6,240,现金,早晨
710,,招牌三明治,快餐,60,15,900,其他,晚上
711,,咖喱土豆球,快餐,20,3,60,现金,下午
712,,瓦达汉堡,快餐,20,3,60,在线支付,午夜
713,2022-12-02,新鲜甘蔗汁,饮品,25,14,350,在线支付,早晨
714,,新鲜甘蔗汁,饮品,25,14,350,现金,下午
715,2022-04-12,招牌三明治,快餐,60,1,60,在线支付,早晨
716,2022-12-03,脆球点心,快餐,20,9,180,现金,午夜
717,2022-10-11,新鲜甘蔗汁,饮品,25,15,375,其他,傍晚
718,,咖喱土豆球,快餐,20,2,40,在线支付,下午
719,2022-05-09,瓦达汉堡,快餐,20,15,300,现金,午夜
720,2022-05-10,法兰基卷,快餐,50,14,700,现金,早晨
721,,脆球点心,快餐,20,12,240,其他,下午
722,,瓦达汉堡,快餐,20,15,300,其他,午夜
723,,冰咖啡,饮品,40,10,400,在线支付,傍晚
724,,法兰基卷,快餐,50,10,500,现金,晚上
725,2022-07-04,瓦达汉堡,快餐,20,6,120,在线支付,下午
726,2022-09-11,脆球点心,快餐,20,1,20,在线支付,早晨
727,,咖喱土豆球,快餐,20,5,100,现金,午夜
728,2022-08-03,瓦达汉堡,快餐,20,1,20,在线支付,午夜
729,,招牌三明治,快餐,60,7,420,现金,晚上
730,,法兰基卷,快餐,50,13,650,现金,下午
731,2023-03-09,法兰基卷,快餐,50,10,500,现金,下午
732,,脆球点心,快餐,20,7,140,其他,午夜
733,2023-02-03,法兰基卷,快餐,50,10,500,现金,傍晚
734,2022-10-07,法兰基卷,快餐,50,7,350,现金,傍晚
735,2022-08-10,脆球点心,快餐,20,11,220,现金,早晨
736,,脆球点心,快餐,20,13,260,其他,下午
737,,法兰基卷,快餐,50,13,650,在线支付,晚上
738,2023-03-01,招牌三明治,快餐,60,4,240,在线支付,早晨
739,2022-06-06,咖喱土豆球,快餐,20,11,220,在线支付,晚上
740,,咖喱土豆球,快餐,20,9,180,现金,午夜
741,,咖喱土豆球,快餐,20,5,100,在线支付,下午
742,,脆球点心,快餐,20,14,280,在线支付,晚上
743,2022-11-09,脆球点心,快餐,20,1,20,现金,早晨
744,,法兰基卷,快餐,50,10,500,现金,早晨
745,2022-09-11,咖喱土豆球,快餐,20,2,40,在线支付,傍晚
746,2022-08-05,新鲜甘蔗汁,饮品,25,5,125,在线支付,午夜
747,,冰咖啡,饮品,40,3,120,现金,午夜
748,,招牌三明治,快餐,60,14,840,现金,晚上
749,,瓦达汉堡,快餐,20,11,220,现金,早晨
750,2023-02-01,法兰基卷,快餐,50,1,50,在线支付,傍晚
751,,瓦达汉堡,快餐,20,2,40,现金,下午
752,2022-06-04,脆球点心,快餐,20,2,40,在线支付,早晨
753,,新鲜甘蔗汁,饮品,25,1,25,现金,午夜
754,,新鲜甘蔗汁,饮品,25,14,350,现金,傍晚
755,2023-01-02,咖喱土豆球,快餐,20,12,240,现金,晚上
756,,新鲜甘蔗汁,饮品,25,10,250,在线支付,早晨
757,,新鲜甘蔗汁,饮品,25,11,275,在线支付,早晨
758,,瓦达汉堡,快餐,20,3,60,现金,傍晚
759,,新鲜甘蔗汁,饮品,25,13,325,在线支付,午夜
760,,新鲜甘蔗汁,饮品,25,1,25,在线支付,傍晚
761,2022-11-12,招牌三明治,快餐,60,3,180,其他,午夜
762,2022-04-09,瓦达汉堡,快餐,20,12,240,在线支付,午夜
763,2022-07-04,瓦达汉堡,快餐,20,14,280,其他,晚上
764,,招牌三明治,快餐,60,7,420,现金,晚上
765,,招牌三明治,快餐,60,13,780,现金,晚上
766,,招牌三明治,快餐,60,10,600,在线支付,早晨
767,,法兰基卷,快餐,50,8,400,现金,下午
768,2023-01-12,招牌三明治,快餐,60,14,840,现金,下午
769,2022-06-07,法兰基卷,快餐,50,8,400,现金,早晨
770,,咖喱土豆球,快餐,20,8,160,现金,早晨
771,,脆球点心,快餐,20,5,100,在线支付,午夜
772,,冰咖啡,饮品,40,9,360,现金,傍晚
773,,冰咖啡,饮品,40,7,280,在线支付,下午
774,,瓦达汉堡,快餐,20,1,20,在线支付,晚上
775,,招牌三明治,快餐,60,6,360,现金,晚上
776,2023-02-07,法兰基卷,快餐,50,10,500,现金,午夜
777,,脆球点心,快餐,20,13,260,现金,早晨
778,2022-06-11,法兰基卷,快餐,50,13,650,现金,傍晚
779,,招牌三明治,快餐,60,13,780,其他,晚上
780,,新鲜甘蔗汁,饮品,25,13,325,在线支付,下午
781,,咖喱土豆球,快餐,20,10,200,在线支付,午夜
782,,咖喱土豆球,快餐,20,5,100,在线支付,晚上
783,,咖喱土豆球,快餐,20,8,160,现金,早晨
784,2022-07-09,瓦达汉堡,快餐,20,8,160,现金,早晨
785,2022-12-07,咖喱土豆球,快餐,20,2,40,在线支付,下午
786,,招牌三明治,快餐,60,14,840,在线支付,晚上
787,,咖喱土豆球,快餐,20,2,40,现金,下午
788,,新鲜甘蔗汁,饮品,25,7,175,在线支付,下午
789,2022-08-03,新鲜甘蔗汁,饮品,25,7,175,现金,早晨
790,,脆球点心,快餐,20,3,60,现金,傍晚
791,2022-04-07,瓦达汉堡,快餐,20,3,60,其他,午夜
792,,瓦达汉堡,快餐,20,2,40,现金,早晨
793,,招牌三明治,快餐,60,6,360,现金,晚上
794,2022-10-02,新鲜甘蔗汁,饮品,25,5,125,在线支付,下午
795,2023-01-10,瓦达汉堡,快餐,20,9,180,现金,傍晚
796,,新鲜甘蔗汁,饮品,25,14,350,在线支付,晚上
797,,冰咖啡,饮品,40,11,440,现金,晚上
798,,法兰基卷,快餐,50,12,600,其他,晚上
799,2023-01-11,脆球点心,快餐,20,1,20,在线支付,晚上
800,2022-11-06,冰咖啡,饮品,40,14,560,现金,晚上
801,,咖喱土豆球,快餐,20,7,140,现金,傍晚
802,,招牌三明治,快餐,60,7,420,在线支付,下午
803,,瓦达汉堡,快餐,20,5,100,其他,晚上
804,2022-10-11,冰咖啡,饮品,40,12,480,在线支付,晚上
805,2022-05-08,新鲜甘蔗汁,饮品,25,1,25,在线支付,下午
806,,瓦达汉堡,快餐,20,3,60,在线支付,傍晚
807,,法兰基卷,快餐,50,1,50,在线支付,午夜
808,,脆球点心,快餐,20,1,20,在线支付,早晨
809,2022-12-12,脆球点心,快餐,20,10,200,在线支付,傍晚
810,,瓦达汉堡,快餐,20,3,60,在线支付,早晨
811,2023-03-02,咖喱土豆球,快餐,20,13,260,现金,下午
812,2022-08-08,脆球点心,快餐,20,5,100,现金,下午
813,,脆球点心,快餐,20,10,200,在线支付,下午
814,2022-10-05,瓦达汉堡,快餐,20,13,260,现金,午夜
815,,冰咖啡,饮品,40,12,480,在线支付,下午
816,2023-01-11,新鲜甘蔗汁,饮品,25,11,275,现金,早晨
817,,咖喱土豆球,快餐,20,12,240,现金,傍晚
818,,法兰基卷,快餐,50,6,300,现金,晚上
819,2022-10-12,瓦达汉堡,快餐,20,10,200,现金,傍晚
820,,咖喱土豆球,快餐,20,3,60,其他,午夜
821,,咖喱土豆球,快餐,20,12,240,现金,午夜
822,,脆球点心,快餐,20,12,240,在线支付,早晨
823,,脆球点心,快餐,20,11,220,在线支付,午夜
824,,瓦达汉堡,快餐,20,2,40,在线支付,傍晚
825,,脆球点心,快餐,20,14,280,现金,早晨
826,2022-12-02,招牌三明治,快餐,60,15,900,现金,晚上
827,2023-01-06,招牌三明治,快餐,60,12,720,现金,午夜
828,,脆球点心,快餐,20,6,120,现金,傍晚
829,,冰咖啡,饮品,40,6,240,现金,晚上
830,,冰咖啡,饮品,40,9,360,其他,晚上
831,2022-08-01,法兰基卷,快餐,50,5,250,在线支付,早晨
832,2022-06-06,新鲜甘蔗汁,饮品,25,4,100,现金,早晨
833,2022-09-01,脆球点心,快餐,20,2,40,在线支付,傍晚
834,,新鲜甘蔗汁,饮品,25,14,350,现金,傍晚
835,,新鲜甘蔗汁,饮品,25,7,175,在线支付,下午
836,,瓦达汉堡,快餐,20,2,40,现金,午夜
837,,咖喱土豆球,快餐,20,7,140,现金,午夜
838,,冰咖啡,饮品,40,9,360,在线支付,早晨
839,2022-05-08,新鲜甘蔗汁,饮品,25,4,100,现金,下午
840,,冰咖啡,饮品,40,15,600,其他,午夜
841,2023-02-03,瓦达汉堡,快餐,20,9,180,现金,晚上
842,,脆球点心,快餐,20,2,40,现金,傍晚
843,2022-07-04,新鲜甘蔗汁,饮品,25,1,25,现金,早晨
844,2022-05-04,新鲜甘蔗汁,饮品,25,13,325,现金,早晨
845,2022-07-01,冰咖啡,饮品,40,6,240,在线支付,傍晚
846,,咖喱土豆球,快餐,20,5,100,在线支付,下午
847,,脆球点心,快餐,20,11,220,在线支付,午夜
848,2022-11-10,法兰基卷,快餐,50,9,450,现金,晚上
849,2022-11-03,冰咖啡,饮品,40,10,400,现金,晚上
850,,瓦达汉堡,快餐,20,3,60,在线支付,下午
851,,咖喱土豆球,快餐,20,15,300,在线支付,晚上
852,2022-05-05,新鲜甘蔗汁,饮品,25,8,200,在线支付,晚上
853,,冰咖啡,饮品,40,3,120,在线支付,午夜
854,,冰咖啡,饮品,40,14,560,在线支付,晚上
855,,瓦达汉堡,快餐,20,5,100,在线支付,傍晚
856,2022-05-04,咖喱土豆球,快餐,20,11,220,现金,晚上
857,2022-11-08,新鲜甘蔗汁,饮品,25,14,350,在线支付,傍晚
858,,冰咖啡,饮品,40,9,360,现金,傍晚
859,2022-10-08,招牌三明治,快餐,60,11,660,现金,午夜
860,,冰咖啡,饮品,40,5,200,现金,晚上
861,,新鲜甘蔗汁,饮品,25,8,200,现金,晚上
862,2023-03-10,法兰基卷,快餐,50,7,350,在线支付,晚上
863,2022-09-08,法兰基卷,快餐,50,9,450,在线支付,晚上
864,,冰咖啡,饮品,40,9,360,在线支付,早晨
865,,新鲜甘蔗汁,饮品,25,6,150,现金,晚上
866,,法兰基卷,快餐,50,10,500,在线支付,午夜
867,,法兰基卷,快餐,50,15,750,现金,午夜
868,,咖喱土豆球,快餐,20,13,260,现金,傍晚
869,,脆球点心,快餐,20,9,180,在线支付,午夜
870,,冰咖啡,饮品,40,5,200,在线支付,下午
871,2022-12-07,瓦达汉堡,快餐,20,14,280,其他,傍晚
872,,招牌三明治,快餐,60,12,720,现金,下午
873,2022-05-09,新鲜甘蔗汁,饮品,25,1,25,在线支付,晚上
874,2022-05-09,冰咖啡,饮品,40,4,160,现金,午夜
875,2022-08-05,瓦达汉堡,快餐,20,15,300,现金,傍晚
876,2022-06-10,冰咖啡,饮品,40,8,320,在线支付,傍晚
877,,新鲜甘蔗汁,饮品,25,14,350,现金,下午
878,2022-08-12,招牌三明治,快餐,60,6,360,在线支付,傍晚
879,2022-11-06,冰咖啡,饮品,40,9,360,现金,傍晚
880,,新鲜甘蔗汁,饮品,25,5,125,现金,早晨
881,,招牌三明治,快餐,60,2,120,现金,午夜
882,,脆球点心,快餐,20,9,180,在线支付,早晨
883,,咖喱土豆球,快餐,20,5,100,在线支付,午夜
884,2023-03-01,瓦达汉堡,快餐,20,12,240,在线支付,晚上
885,,新鲜甘蔗汁,饮品,25,4,100,现金,傍晚
886,,新鲜甘蔗汁,饮品,25,4,100,现金,晚上
887,,咖喱土豆球,快餐,20,3,60,现金,早晨
